"fdeliver_status","price","fpaymentmode","logisticr","cust_rating","shipment_hr","fnotify","fweather","fcust_avail","dist_warehouse","profit_pr","order_date","shipment_date","expected_delivery","remaining","ftracking","consignment_wt","empolyee_number"
"yes",10648,"credit",64,74,83,"yes","good","yes",122,9.81702760716442,2018-01-29,2018-01-30,2018-02-05,50,"GPRS",4.28236199378533,373
"no",7877,"debit",79,50,84,"yes","good","yes",2,7.90687952802437,2018-05-13,2018-05-15,2018-05-20,33,"GPRS",2.19889414479451,388
"yes",6476,"debit",84,7,85,"yes","good","yes",115,8.47344400393478,2018-08-12,2018-08-15,2018-08-19,9,"RFID",1.37260561114572,390
"yes",10860,"debit",82,95,86,"yes","bad","no",171,7.90337884552774,2018-06-08,2018-06-12,2018-06-15,62,"RFID",3.00140205315431,406
"yes",523,"online",40,91,87,"yes","good","yes",168,11.0102812447281,2018-06-06,2018-06-08,2018-06-16,95,"GPRS",3.46312366605837,381
"yes",5635,"cash",80,49,88,"yes","good","no",50,10.3357053453383,2018-06-23,2018-06-26,2018-07-02,52,"GPRS",3.86148399768164,405
"yes",14269,"cash",54,73,89,"yes","good","yes",61,10.4579349273978,2018-09-26,2018-10-01,2018-10-03,68,"GPRS",3.74981649065157,374
"yes",11038,"cash",14,35,90,"no","good","yes",166,11.5919609071869,2018-01-25,2018-01-29,2018-02-03,34,"RFID",3.16918830334182,391
"yes",11859,"credit",38,23,91,"yes","good","yes",112,8.23041559626535,2018-12-02,2018-12-03,2018-12-10,34,"GPRS",4.13021357664989,385
"yes",7885,"cash",38,28,92,"no","good","yes",33,6.957039625915,2018-11-16,2018-11-20,2018-11-24,4,"GPRS",1.80123247799353,390
"yes",2374,"debit",39,77,93,"yes","good","yes",52,8.88378706041256,2018-07-18,2018-07-21,2018-07-25,88,"GPRS",4.38894398082471,404
"yes",11320,"debit",19,53,94,"yes","good","yes",157,7.83716660774806,2018-07-02,2018-07-05,2018-07-08,70,"GPRS",3.93151169727196,382
"yes",11793,"debit",17,89,95,"yes","good","yes",14,12.5220095745628,2018-08-13,2018-08-16,2018-08-23,79,"GPRS",3.35833713913968,395
"yes",3313,"cash",81,82,96,"yes","good","yes",35,12.0146826936099,2018-11-28,2018-12-02,2018-12-04,72,"GPRS",1.87567731519653,406
"yes",6687,"credit",66,7,97,"yes","bad","no",81,10.2018116095505,2018-06-26,2018-07-01,2018-07-05,34,"RFID",1.9878158453345,378
"yes",1527,"cash",29,88,98,"yes","good","yes",98,9.89561563021128,2018-08-29,2018-09-03,2018-09-04,31,"GPRS",2.84436499997357,392
"yes",1010,"debit",20,88,99,"yes","good","yes",49,7.16885384309669,2018-12-06,2018-12-07,2018-12-12,44,"GPRS",1.59958406719809,400
"yes",5019,"cash",32,87,100,"yes","bad","no",17,8.34782483561075,2018-09-02,2018-09-05,2018-09-11,11,"GPRS",2.83040165016745,389
"yes",7559,"cash",79,37,101,"yes","good","no",149,8.0209290180631,2018-09-08,2018-09-10,2018-09-14,31,"GPRS",1.60893178852935,397
"yes",14721,"online",30,40,102,"yes","good","no",83,8.99830828700075,2018-11-01,2018-11-04,2018-11-11,93,"GPRS",4.549985623152,375
"yes",7995,"debit",73,16,103,"yes","good","yes",71,9.83023386205384,2018-08-24,2018-08-27,2018-09-02,34,"GPRS",3.58776749925218,394
"yes",6019,"online",49,32,104,"yes","good","no",100,9.40811847925222,2018-08-01,2018-08-03,2018-08-07,76,"GPRS",2.40300554756706,374
"yes",5720,"credit",56,59,105,"yes","good","no",178,10.7311789385537,2018-01-22,2018-01-25,2018-01-31,19,"RFID",3.0601868361885,399
"yes",11193,"credit",57,97,106,"yes","bad","yes",3,13.3447561717825,2018-03-09,2018-03-11,2018-03-19,18,"GPRS",2.10038257404785,385
"yes",5030,"online",56,17,107,"yes","good","no",136,4.82539964617085,2018-08-28,2018-09-02,2018-09-07,19,"GPRS",3.16816245349214,391
"no",11855,"debit",63,74,108,"yes","good","no",106,10.9170125208299,2018-07-31,2018-08-04,2018-08-10,70,"GPRS",3.06617608754425,402
"yes",4224,"debit",39,85,109,"yes","good","yes",65,12.2885400101437,2018-08-15,2018-08-16,2018-08-23,47,"RFID",4.05954869936447,375
"yes",9014,"credit",37,32,110,"no","good","yes",9,11.5999253693261,2018-02-09,2018-02-14,2018-02-16,76,"GPRS",3.31493132376242,402
"yes",471,"debit",14,69,111,"yes","good","no",104,10.459459381393,2018-10-06,2018-10-07,2018-10-13,57,"GPRS",2.65733994811566,370
"yes",9894,"cash",52,93,112,"yes","good","yes",199,8.5770666364617,2018-06-05,2018-06-08,2018-06-11,86,"GPRS",2.01451123897128,403
"yes",13884,"credit",67,32,113,"yes","good","yes",6,11.8017404376438,2018-03-05,2018-03-10,2018-03-11,76,"GPRS",3.31929672791574,405
"yes",9791,"debit",12,51,114,"yes","good","yes",87,5.02446277447035,2018-03-04,2018-03-08,2018-03-12,72,"RFID",3.62560602918249,409
"yes",5934,"online",76,41,115,"yes","good","yes",90,9.76210223073034,2018-11-07,2018-11-09,2018-11-14,51,"GPRS",3.82651084545734,394
"yes",6980,"online",22,67,116,"yes","good","no",6,10.2155930844595,2018-06-16,2018-06-18,2018-06-23,99,"GPRS",3.54611353381978,396
"no",13397,"online",44,26,117,"yes","good","no",153,11.639052682543,2018-04-08,2018-04-13,2018-04-17,58,"RFID",3.76002860306442,371
"yes",6201,"online",20,78,118,"yes","good","yes",21,9.29502992415812,2018-10-23,2018-10-28,2018-11-02,39,"RFID",2.66497349662429,381
"yes",12062,"online",99,26,119,"no","good","no",116,9.15556098055903,2018-02-21,2018-02-25,2018-03-01,96,"RFID",3.47733225046593,380
"yes",7151,"cash",75,51,120,"yes","good","yes",103,8.76458946220626,2018-05-12,2018-05-17,2018-05-18,52,"GPRS",2.098421522712,388
"yes",449,"debit",14,30,121,"yes","good","yes",14,12.8947858018999,2018-08-18,2018-08-23,2018-08-26,69,"GPRS",3.26085654762636,403
"yes",9499,"debit",68,73,122,"no","good","yes",45,8.47301185246784,2018-08-26,2018-08-31,2018-09-01,52,"GPRS",2.2036343284635,405
"yes",13834,"debit",20,14,123,"yes","good","yes",139,7.33155333343971,2018-10-27,2018-10-30,2018-11-04,11,"GPRS",3.23528649798665,380
"yes",2550,"online",54,2,124,"no","good","yes",125,9.00680854141695,2018-05-03,2018-05-07,2018-05-12,40,"GPRS",3.18742101347396,390
"yes",6619,"online",29,59,125,"no","good","yes",9,6.19132909423998,2018-07-28,2018-08-02,2018-08-07,93,"RFID",3.0796171196093,382
"yes",4522,"debit",12,50,126,"yes","bad","no",76,10.4108162988355,2018-05-08,2018-05-11,2018-05-15,22,"GPRS",1.9283249202731,392
"yes",6920,"online",49,12,127,"yes","good","yes",41,8.83377393051234,2018-07-24,2018-07-29,2018-07-30,24,"RFID",2.31258575456457,394
"yes",10458,"debit",51,51,128,"yes","good","yes",134,8.41361434461249,2018-01-31,2018-02-01,2018-02-10,18,"GPRS",2.53729262494478,378
"yes",13107,"debit",65,50,129,"yes","good","yes",156,7.7586209707671,2018-08-28,2018-09-02,2018-09-07,16,"GPRS",3.38723983486067,403
"yes",5991,"debit",75,30,130,"yes","good","yes",107,7.33995190703077,2018-07-04,2018-07-07,2018-07-14,75,"RFID",1.99018526681474,391
"yes",5187,"cash",35,39,131,"no","good","no",30,10.7382536102932,2018-06-08,2018-06-09,2018-06-14,3,"RFID",1.18297115099856,399
"yes",4251,"online",35,96,132,"yes","good","yes",100,10.7452540197832,2018-01-06,2018-01-10,2018-01-14,8,"GPRS",3.31436626365654,395
"yes",5370,"debit",34,54,133,"yes","good","no",78,11.5559409515833,2018-05-03,2018-05-08,2018-05-11,10,"GPRS",2.45507209553598,396
"yes",5486,"cash",97,54,134,"yes","good","yes",135,9.35502554511207,2018-09-23,2018-09-27,2018-10-03,2,"GPRS",2.65006833854951,393
"yes",13110,"debit",50,40,135,"no","good","yes",129,8.31373604628814,2018-09-11,2018-09-16,2018-09-19,8,"RFID",1.93952703088997,373
"yes",13343,"credit",16,19,136,"yes","good","no",137,13.3403409543606,2018-01-01,2018-01-05,2018-01-08,25,"GPRS",2.5474319476413,373
"yes",11950,"online",38,89,137,"no","good","no",177,12.4660315340657,2018-07-14,2018-07-16,2018-07-20,91,"GPRS",2.70347034758037,379
"yes",5829,"credit",32,34,138,"yes","good","yes",121,9.71515649926599,2018-09-28,2018-10-03,2018-10-06,75,"GPRS",3.21622930215073,403
"yes",6975,"cash",94,72,139,"yes","good","yes",29,10.9603692798753,2018-01-06,2018-01-08,2018-01-15,47,"GPRS",3.27521544311774,400
"no",11761,"online",90,3,140,"yes","good","no",197,8.80432375405358,2018-04-22,2018-04-25,2018-04-29,12,"GPRS",3.22157094851264,403
"yes",11336,"credit",93,3,141,"yes","good","yes",29,12.1924420014873,2018-09-25,2018-09-29,2018-10-04,56,"RFID",3.65330913358458,384
"no",5800,"cash",82,19,142,"yes","good","yes",57,8.07391955233495,2018-06-21,2018-06-25,2018-06-30,46,"RFID",2.27582115048282,410
"yes",1854,"online",57,84,143,"no","good","yes",86,6.67880153475681,2018-10-18,2018-10-20,2018-10-28,70,"GPRS",2.39044766323678,397
"yes",12622,"debit",99,39,144,"yes","bad","yes",7,9.18638069649804,2018-03-15,2018-03-20,2018-03-25,89,"GPRS",3.2765782617441,375
"yes",5430,"debit",45,8,145,"no","good","yes",118,11.3408807624084,2018-10-27,2018-10-31,2018-11-05,16,"GPRS",3.34679725015277,376
"yes",1268,"online",18,94,146,"no","bad","yes",110,10.3612843158109,2018-11-01,2018-11-02,2018-11-10,54,"GPRS",2.72918763414771,383
"yes",10403,"online",41,96,147,"yes","good","no",186,9.61040579222448,2018-11-03,2018-11-05,2018-11-13,5,"GPRS",4.18073766392261,384
"yes",14408,"cash",51,13,148,"yes","good","yes",97,10.0161121191755,2018-02-13,2018-02-15,2018-02-23,14,"RFID",4.3856306210031,393
"yes",6867,"online",24,11,149,"yes","good","yes",150,14.1952406295762,2018-04-30,2018-05-02,2018-05-09,6,"GPRS",2.88185353748136,385
"yes",14498,"online",27,62,150,"yes","good","yes",82,5.45516746368211,2018-03-01,2018-03-04,2018-03-10,0,"GPRS",1.62607077029364,394
"yes",12160,"debit",99,13,151,"yes","good","yes",6,10.0521770227281,2018-04-28,2018-04-30,2018-05-07,81,"GPRS",1.50194878830803,374
"yes",442,"cash",44,92,152,"yes","good","yes",74,5.99388524555055,2018-09-22,2018-09-26,2018-10-02,60,"GPRS",3.40544809686272,381
"yes",6810,"online",20,40,153,"yes","good","no",1,7.19492860334027,2018-06-20,2018-06-24,2018-06-29,11,"GPRS",2.75143860665141,404
"yes",3860,"cash",82,88,154,"yes","good","yes",130,12.3468787014498,2018-09-18,2018-09-22,2018-09-26,93,"GPRS",2.73940683273069,371
"yes",13855,"online",83,26,155,"yes","bad","no",179,11.6983407489567,2018-09-19,2018-09-21,2018-09-27,15,"RFID",3.52808578662522,384
"yes",2235,"cash",57,5,156,"yes","good","yes",200,6.38924959355945,2018-10-29,2018-11-03,2018-11-07,10,"GPRS",2.53927641747447,399
"yes",10604,"credit",50,42,157,"yes","good","no",184,6.81995622200677,2018-08-04,2018-08-06,2018-08-14,17,"GPRS",2.2904598205278,370
"yes",1584,"debit",40,68,158,"no","good","no",171,5.61447329635066,2018-01-13,2018-01-16,2018-01-20,82,"RFID",2.6909936744095,409
"yes",11997,"credit",81,64,159,"no","bad","yes",190,10.6398480965978,2018-06-17,2018-06-20,2018-06-23,81,"GPRS",3.1699165259536,405
"yes",9350,"cash",61,41,160,"yes","good","yes",144,11.2200904737076,2018-02-07,2018-02-10,2018-02-17,76,"GPRS",3.71015557778652,409
"yes",13910,"cash",25,70,161,"no","good","yes",91,11.2045857206776,2018-10-07,2018-10-10,2018-10-17,91,"GPRS",2.86704431893801,395
"yes",10379,"debit",91,93,162,"yes","good","yes",36,8.77848726215128,2018-07-19,2018-07-21,2018-07-29,29,"RFID",1.92559392627961,395
"yes",11165,"credit",31,31,163,"yes","good","yes",163,8.81241159637992,2018-11-23,2018-11-28,2018-12-02,57,"RFID",3.48001448051069,391
"no",6107,"debit",46,96,164,"yes","good","no",119,12.9568502722578,2018-01-20,2018-01-21,2018-01-27,17,"RFID",2.66637055450529,410
"yes",141,"online",20,58,165,"yes","good","no",98,10.8875097912482,2018-04-08,2018-04-13,2018-04-16,99,"RFID",3.20339505614405,403
"yes",13360,"cash",11,35,166,"yes","good","no",42,11.6523467181673,2018-05-08,2018-05-09,2018-05-18,60,"RFID",2.69902910446013,370
"yes",13468,"online",13,95,167,"yes","good","no",65,12.2217678837155,2018-09-26,2018-10-01,2018-10-05,51,"RFID",3.77378956325922,399
"yes",8122,"credit",17,100,168,"yes","bad","no",49,10.5928237326029,2018-09-04,2018-09-05,2018-09-10,25,"RFID",2.7240054386439,394
"yes",11396,"cash",100,49,169,"yes","good","no",111,10.8702829249576,2018-07-10,2018-07-15,2018-07-18,70,"GPRS",2.38801573003482,390
"no",7094,"online",93,27,170,"yes","good","yes",99,11.4881244451583,2018-05-02,2018-05-07,2018-05-09,2,"GPRS",3.89298426595105,401
"yes",5898,"debit",89,35,171,"yes","good","yes",26,8.44976288872964,2018-01-11,2018-01-12,2018-01-17,43,"GPRS",2.72255509954529,401
"yes",552,"debit",80,87,172,"yes","good","yes",166,8.20015458726019,2018-02-04,2018-02-08,2018-02-10,54,"GPRS",2.99910827595469,374
"yes",14662,"online",88,30,173,"yes","good","yes",150,13.3843692408707,2018-08-07,2018-08-12,2018-08-13,69,"GPRS",2.82083915841566,374
"yes",11304,"credit",91,78,174,"no","good","yes",159,12.8479503181688,2018-08-13,2018-08-18,2018-08-22,53,"GPRS",3.46215794397926,400
"yes",10301,"online",100,36,175,"yes","good","yes",137,14.5924305608167,2018-06-19,2018-06-24,2018-06-28,60,"GPRS",3.73284980640171,399
"yes",6180,"cash",80,86,176,"yes","good","no",88,13.8845097117463,2018-08-11,2018-08-14,2018-08-17,35,"GPRS",3.29013502392728,410
"yes",13870,"online",59,21,177,"no","good","yes",137,9.79604269096869,2018-06-30,2018-07-05,2018-07-09,26,"GPRS",3.0540528124935,378
"yes",5164,"debit",14,42,178,"yes","good","no",5,11.8442681324322,2018-10-20,2018-10-24,2018-10-26,16,"GPRS",3.30675534293497,405
"yes",13452,"credit",96,59,179,"yes","good","yes",114,14.9656610345787,2018-07-29,2018-07-31,2018-08-08,73,"RFID",3.17304997017696,382
"yes",13331,"cash",45,83,180,"yes","good","yes",159,9.27602134443218,2018-04-19,2018-04-24,2018-04-26,70,"GPRS",3.20899017255242,396
"no",12581,"credit",30,67,181,"yes","good","yes",127,10.5570901497101,2018-10-27,2018-11-01,2018-11-06,11,"GPRS",3.83365698414904,375
"no",1162,"credit",56,65,182,"yes","good","yes",140,12.474739692564,2018-04-05,2018-04-08,2018-04-15,37,"GPRS",4.07770482384589,393
"yes",5419,"debit",39,97,183,"yes","good","yes",97,9.70423505249708,2018-10-06,2018-10-08,2018-10-16,30,"RFID",3.3337338171353,400
"yes",9573,"online",49,67,184,"yes","good","yes",56,9.7876083381973,2018-03-12,2018-03-17,2018-03-18,69,"RFID",2.31760287937434,384
"yes",7644,"online",82,16,185,"yes","bad","yes",41,12.461947878258,2018-03-02,2018-03-03,2018-03-11,72,"RFID",2.60337439139006,386
"yes",2025,"cash",24,62,186,"yes","good","yes",117,11.5251353181112,2018-10-08,2018-10-11,2018-10-17,54,"RFID",2.2217991722157,380
"yes",10197,"debit",13,16,187,"yes","good","yes",102,8.96290645560295,2018-08-31,2018-09-03,2018-09-09,49,"GPRS",2.25583675620883,374
"yes",8744,"online",94,51,188,"yes","good","yes",26,11.8044003314329,2018-08-24,2018-08-29,2018-09-02,100,"GPRS",1.7097361627567,402
"no",3358,"credit",50,62,189,"yes","good","no",149,10.8485905925565,2018-06-06,2018-06-10,2018-06-14,100,"GPRS",1.40458592226999,391
"yes",5091,"credit",86,66,190,"yes","good","yes",85,7.33767660991009,2018-03-30,2018-04-02,2018-04-08,81,"RFID",2.70793463477827,389
"yes",9320,"cash",88,29,191,"yes","bad","yes",81,10.4065554964594,2018-03-31,2018-04-02,2018-04-07,17,"GPRS",3.20839259181256,370
"yes",2684,"online",53,92,192,"yes","bad","no",165,10.6860692788848,2018-05-03,2018-05-07,2018-05-12,41,"RFID",2.91473230690588,407
"yes",1611,"credit",100,8,193,"yes","good","yes",107,11.1294328301789,2018-06-30,2018-07-03,2018-07-07,2,"GPRS",2.88002385960004,370
"yes",14277,"online",97,38,194,"yes","good","yes",135,8.92969513129794,2018-05-06,2018-05-08,2018-05-12,7,"RFID",2.37196252184711,378
"yes",2075,"debit",35,46,195,"yes","bad","no",198,9.55504125163663,2018-03-29,2018-04-03,2018-04-08,9,"GPRS",2.34287748926095,408
"yes",14219,"credit",33,5,196,"yes","good","yes",90,8.14465308357712,2018-06-16,2018-06-17,2018-06-26,93,"GPRS",2.58562474876963,400
"yes",1032,"debit",72,13,24,"yes","good","no",2,12.6155254982941,2018-03-08,2018-03-12,2018-03-14,88,"RFID",2.68352358272826,376
"yes",2082,"cash",65,74,25,"yes","good","yes",159,9.60330776915841,2018-05-31,2018-06-04,2018-06-07,34,"GPRS",3.17603633474978,385
"yes",1148,"debit",40,5,26,"yes","good","yes",66,6.79531491341229,2018-11-02,2018-11-04,2018-11-12,1,"GPRS",2.70474743799256,392
"yes",9152,"cash",39,90,27,"yes","good","no",74,14.2088227947938,2018-02-24,2018-02-28,2018-03-06,95,"RFID",3.76780764427558,393
"yes",8461,"online",36,55,28,"yes","good","no",158,7.67117497131533,2018-03-10,2018-03-11,2018-03-18,34,"RFID",2.63543054884221,402
"yes",8281,"cash",83,23,29,"no","good","yes",78,10.6359133511326,2018-10-29,2018-11-03,2018-11-08,23,"GPRS",3.32179956610487,403
"yes",5203,"cash",94,50,30,"yes","good","yes",28,8.15336185355738,2018-07-19,2018-07-22,2018-07-28,40,"GPRS",2.72960015708584,405
"yes",7470,"debit",42,56,31,"no","good","yes",41,13.2376235616199,2018-05-12,2018-05-14,2018-05-22,45,"GPRS",3.22596881979301,382
"yes",8115,"debit",88,4,32,"no","good","yes",98,10.0870066039347,2018-03-07,2018-03-09,2018-03-14,58,"RFID",2.37397143856662,371
"yes",8547,"credit",82,68,33,"no","good","yes",141,10.422946820188,2018-09-17,2018-09-22,2018-09-24,89,"GPRS",1.99199161056754,401
"yes",6578,"online",68,98,34,"yes","good","yes",136,11.0260973818295,2018-07-19,2018-07-23,2018-07-28,25,"GPRS",3.28442710442462,394
"yes",12760,"online",13,49,35,"yes","good","no",168,9.87438874770514,2018-01-04,2018-01-07,2018-01-11,69,"RFID",2.63054861407057,381
"yes",3460,"credit",81,73,36,"yes","bad","yes",0,10.3592024027036,2018-01-25,2018-01-29,2018-01-31,14,"RFID",3.00354963349163,402
"yes",11494,"cash",67,23,37,"no","good","yes",177,11.0571298937793,2018-07-09,2018-07-11,2018-07-16,68,"GPRS",3.34478736377915,387
"yes",13844,"online",35,1,38,"yes","good","no",177,9.59543372066389,2018-09-02,2018-09-06,2018-09-11,10,"RFID",2.30920184328536,395
"yes",5109,"online",59,80,39,"no","good","yes",112,8.03075893389077,2018-12-12,2018-12-15,2018-12-21,27,"GPRS",2.4718935144219,393
"yes",11835,"cash",23,2,40,"yes","good","yes",198,13.9135516686416,2018-06-18,2018-06-20,2018-06-28,23,"RFID",3.26884915973412,386
"yes",5080,"online",59,78,41,"no","good","yes",126,10.5177072254043,2018-08-08,2018-08-13,2018-08-17,19,"GPRS",2.31444341818766,398
"yes",8283,"cash",99,17,42,"yes","bad","yes",17,10.8416270740879,2018-06-11,2018-06-12,2018-06-18,54,"GPRS",2.74409755212765,402
"yes",9974,"debit",29,94,43,"no","good","yes",93,10.9969355557663,2018-05-24,2018-05-27,2018-05-30,93,"GPRS",2.37009928398882,387
"yes",3544,"online",84,87,44,"yes","good","yes",55,8.64333553667566,2018-03-16,2018-03-20,2018-03-22,98,"GPRS",2.83028910754255,384
"yes",2715,"debit",34,29,45,"yes","good","yes",87,9.58663846646439,2018-06-19,2018-06-24,2018-06-26,85,"RFID",3.34780958024321,405
"yes",12147,"online",50,85,46,"no","good","yes",95,11.586387056686,2018-03-01,2018-03-02,2018-03-09,61,"GPRS",3.99783723464483,392
"yes",6257,"credit",23,89,47,"yes","bad","yes",93,11.916241941961,2018-11-28,2018-12-02,2018-12-06,49,"GPRS",4.09204360121089,378
"yes",4278,"online",10,58,48,"yes","good","yes",150,10.5858569438603,2018-09-21,2018-09-25,2018-09-28,76,"RFID",3.86028704272711,400
"yes",5547,"cash",58,5,49,"yes","good","yes",70,9.54284805714728,2018-02-13,2018-02-14,2018-02-21,60,"RFID",2.24063933054983,370
"yes",2421,"online",32,12,50,"yes","good","yes",47,10.4574092659794,2018-08-23,2018-08-27,2018-08-31,2,"GPRS",2.12098834396963,383
"yes",7383,"cash",79,5,51,"yes","good","yes",104,6.67501931773522,2018-01-19,2018-01-24,2018-01-25,15,"GPRS",2.85225798972834,404
"yes",1186,"cash",89,44,52,"yes","good","no",15,10.8365433860693,2018-03-24,2018-03-28,2018-04-03,29,"RFID",2.82688375811843,396
"yes",3079,"online",92,78,53,"yes","good","no",97,11.2478245026277,2018-10-20,2018-10-23,2018-10-30,47,"GPRS",2.9218185246672,383
"yes",4864,"cash",36,74,54,"no","bad","yes",189,7.66074233450992,2018-10-16,2018-10-20,2018-10-23,71,"RFID",3.42498380653771,379
"yes",7933,"debit",93,39,55,"yes","good","yes",35,10.3989346976313,2018-01-25,2018-01-27,2018-01-31,14,"GPRS",3.58973294584322,384
"yes",3588,"debit",24,23,56,"yes","good","yes",103,9.72330767085769,2018-02-05,2018-02-06,2018-02-15,14,"RFID",3.01881977500115,370
"yes",14502,"online",23,63,57,"yes","bad","yes",28,8.73649781492883,2018-03-04,2018-03-07,2018-03-14,14,"GPRS",2.0131503102389,377
"yes",12858,"debit",53,73,58,"yes","good","no",20,12.0632846009354,2018-02-04,2018-02-07,2018-02-13,76,"GPRS",3.82319475762967,383
"yes",1428,"debit",73,33,59,"yes","good","yes",48,10.2752091387412,2018-05-03,2018-05-07,2018-05-10,39,"GPRS",3.4649359031698,408
"yes",14713,"debit",75,39,60,"yes","good","yes",186,8.80235843942269,2018-09-18,2018-09-23,2018-09-24,21,"GPRS",3.36252925275759,392
"yes",3771,"cash",20,95,61,"yes","good","yes",184,11.9191647447283,2018-08-08,2018-08-11,2018-08-17,26,"GPRS",3.35470064555908,391
"yes",7460,"debit",53,75,62,"yes","good","yes",93,15.0368683002185,2018-09-17,2018-09-22,2018-09-26,56,"GPRS",3.92400127939047,400
"yes",13531,"cash",13,84,63,"yes","good","no",173,12.1678930969455,2018-03-28,2018-03-31,2018-04-03,44,"GPRS",4.19114187860249,399
"yes",5861,"debit",67,97,64,"yes","good","yes",59,9.20525877306743,2018-07-02,2018-07-04,2018-07-09,64,"RFID",2.66485082368629,385
"yes",1202,"cash",68,73,65,"yes","good","no",166,7.02047410581926,2018-06-20,2018-06-22,2018-06-27,46,"RFID",2.37544720725002,399
"yes",12956,"online",66,99,66,"yes","good","yes",20,11.8732874574173,2018-01-31,2018-02-05,2018-02-10,7,"GPRS",4.22405983065326,407
"yes",5888,"cash",31,23,67,"yes","good","yes",85,13.3789459525452,2018-04-01,2018-04-02,2018-04-09,89,"GPRS",2.52100391201421,378
"yes",10218,"cash",49,52,68,"yes","good","yes",145,12.8540638169329,2018-11-10,2018-11-15,2018-11-16,61,"GPRS",3.24819418260574,408
"yes",7622,"online",33,6,69,"yes","good","yes",83,9.05523585695318,2018-11-30,2018-12-01,2018-12-07,97,"GPRS",3.01784557990133,383
"yes",2343,"online",94,22,70,"no","good","yes",70,8.46063129438136,2018-08-09,2018-08-13,2018-08-17,6,"GPRS",3.31726391141503,391
"yes",6256,"online",44,56,71,"no","good","yes",133,9.29613394831314,2018-08-07,2018-08-10,2018-08-13,44,"RFID",2.61632899489161,397
"yes",10426,"cash",60,9,72,"yes","good","yes",198,12.7035957461145,2018-03-14,2018-03-17,2018-03-24,65,"GPRS",2.71014646083534,372
"no",8634,"cash",46,51,73,"yes","good","yes",87,9.25667975260718,2018-05-27,2018-05-28,2018-06-03,93,"GPRS",2.67867517613817,402
"yes",955,"debit",67,65,74,"yes","good","yes",167,11.3631855616433,2018-01-22,2018-01-25,2018-01-28,24,"GPRS",3.65986602359112,386
"yes",14825,"debit",42,33,75,"yes","good","yes",173,12.4023706794854,2018-10-03,2018-10-05,2018-10-11,70,"RFID",2.24280166077414,375
"yes",11939,"online",88,53,76,"no","good","no",150,10.8401657433897,2018-11-22,2018-11-27,2018-12-02,53,"RFID",3.79992649426622,370
"yes",1052,"online",43,89,77,"no","good","no",151,11.7564214705201,2018-03-26,2018-03-27,2018-04-03,26,"RFID",2.9462375614767,399
"yes",7653,"online",80,18,78,"yes","good","yes",146,12.8150588693514,2018-07-09,2018-07-10,2018-07-15,92,"GPRS",3.51095916479964,402
"yes",812,"debit",87,7,79,"yes","good","no",140,7.30764192483223,2018-10-09,2018-10-10,2018-10-18,20,"GPRS",4.37426477639294,406
"yes",9230,"online",34,48,80,"yes","good","yes",80,4.68406190075011,2018-11-02,2018-11-04,2018-11-11,13,"RFID",2.32555081483556,372
"yes",3109,"cash",87,59,81,"no","bad","yes",71,12.9843462449466,2018-01-16,2018-01-20,2018-01-22,81,"GPRS",3.06969350037887,401
"no",13226,"cash",86,27,82,"yes","good","yes",145,7.0956540102628,2018-05-07,2018-05-11,2018-05-17,85,"RFID",2.1993420769932,386
"yes",9117,"cash",87,26,83,"yes","good","yes",112,6.75573481067791,2018-07-24,2018-07-27,2018-08-01,20,"GPRS",3.20581573204722,373
"no",12892,"debit",53,62,84,"yes","good","yes",20,9.91783953926775,2018-11-02,2018-11-06,2018-11-09,99,"GPRS",3.06072337798475,388
"yes",10618,"credit",14,87,85,"yes","bad","no",61,11.600879367378,2018-09-05,2018-09-06,2018-09-14,18,"RFID",2.50019104924816,400
"yes",6728,"online",14,95,86,"yes","good","no",141,7.36537484019994,2018-11-06,2018-11-08,2018-11-15,75,"RFID",2.43351774678435,372
"yes",10419,"online",64,83,87,"yes","good","yes",179,8.37293164766361,2018-03-14,2018-03-19,2018-03-22,75,"GPRS",2.45613995049969,375
"yes",11306,"debit",33,31,88,"yes","good","yes",170,8.2234729549966,2018-08-30,2018-09-03,2018-09-05,91,"GPRS",2.30454225181592,391
"yes",1726,"cash",39,48,89,"yes","bad","no",79,8.31693363474657,2018-12-09,2018-12-10,2018-12-15,93,"GPRS",1.81621569647517,392
"yes",2949,"credit",39,12,90,"yes","good","yes",95,9.28420928944272,2018-12-04,2018-12-09,2018-12-14,76,"RFID",2.58749324594244,402
"yes",12755,"online",68,20,91,"yes","good","yes",17,8.87051626467355,2018-06-09,2018-06-12,2018-06-19,75,"RFID",2.46272987230321,397
"yes",2412,"cash",65,94,92,"yes","good","no",190,9.50240998087621,2018-07-07,2018-07-11,2018-07-17,58,"GPRS",2.36779281551884,380
"yes",1437,"cash",99,22,93,"no","good","yes",99,13.9748767017163,2018-09-07,2018-09-10,2018-09-13,77,"RFID",2.93235337287379,404
"yes",11309,"debit",99,71,94,"no","good","yes",145,9.85884935165707,2018-03-12,2018-03-16,2018-03-18,44,"RFID",3.07023832187749,410
"yes",1836,"cash",78,50,95,"yes","good","yes",147,11.9776919336293,2018-08-12,2018-08-17,2018-08-19,77,"RFID",1.88650261651377,381
"yes",10812,"debit",44,49,96,"yes","good","no",34,9.23054949621507,2018-08-26,2018-08-31,2018-09-04,25,"GPRS",3.08022497461367,400
"yes",3756,"debit",69,63,97,"yes","good","yes",106,7.82100613502558,2018-10-08,2018-10-11,2018-10-14,4,"GPRS",2.90012331631441,393
